准考證號,國文,英文,數學,自然,社會
2308,82,33,61,6,69
2309,60,96,0,28,73
2310,75,35,80,100,70
2311,70,83,40,68,78
2312,73,82,0,67,81
2313,73,62,14,51,79
2314,67,84,37,61,72
2315,83,83,54,64,74
2316,88,100,25,48,77
2317,77,64,61,93,84
2318,75,57,60,41,88
2319,76,73,71,31,81
2320,85,97,44,41,67
2321,68,26,63,41,85
2322,74,70,22,48,74
2323,81,100,14,64,75
2324,80,99,21,57,84
2325,76,79,16,75,74
2326,88,84,40,53,91
2327,82,65,27,70,76
2328,69,78,2,56,68
2329,67,63,50,72,77
2330,83,37,3,94,97
2331,78,77,0,53,89
2332,83,67,98,68,74
2333,69,30,45,55,75
2334,75,0,47,65,75
2335,79,71,15,94,83
2336,76,54,84,59,90
2337,78,100,68,66,87
2338,77,92,54,59,82
2339,91,84,68,70,93
2340,62,25,38,61,86
2341,82,42,0,57,84
2342,69,67,100,49,74
2343,75,70,26,63,70
2344,93,70,74,75,82
2345,67,64,15,55,85
2346,65,25,18,68,86
2347,71,40,62,76,69
2348,80,59,18,76,87
2349,70,51,42,44,71
2350,87,60,47,61,80
2351,62,57,37,76,72
2352,77,29,44,69,72
2353,88,27,7,33,70
2354,57,43,6,53,78
2355,72,47,69,27,69
2356,70,100,0,77,72
2357,92,40,71,60,76
2358,80,28,66,96,82
2359,100,80,9,100,86
2360,70,57,7,53,82
2361,69,78,30,73,78
2362,66,23,6,61,80
2363,73,47,100,61,62
2364,73,94,0,55,65
2365,69,55,66,54,76
2366,77,72,23,50,83
2367,78,39,79,33,96
2368,65,79,50,44,81
2369,91,47,21,95,78
2370,75,92,46,61,80
2371,72,93,44,63,82
2372,67,79,14,46,88
2373,56,91,52,77,73
2374,63,43,78,38,77
2375,89,75,30,35,65
2376,68,0,42,50,92
2377,85,51,47,39,73
2378,71,74,25,58,77
2379,96,56,99,41,80
2380,73,64,61,77,76
2381,78,100,93,69,67
2382,71,80,78,61,85
2383,68,56,32,79,67
2384,64,77,0,81,71
2385,56,28,63,63,62
2386,63,100,2,30,62
2387,77,42,63,41,80
2388,64,72,26,65,71
2389,80,67,0,84,92
2390,72,59,64,65,80
2391,61,61,25,70,83
2392,84,84,34,61,71
2393,78,59,23,59,79
2394,69,76,68,78,87
2395,85,87,54,83,94
2396,59,88,55,69,76
2397,75,100,0,78,79
2398,65,50,0,56,73
2399,84,45,49,72,71
2400,67,39,27,46,85
2401,100,100,46,41,78
2402,76,17,5,78,71
2403,80,81,0,49,86
2404,71,59,58,70,72
2405,70,86,69,61,95
2406,73,80,56,68,74
2407,80,16,27,50,78
2408,73,81,19,93,72
2409,78,46,57,47,80
2410,61,96,69,36,77
2411,83,42,25,64,85
2412,83,53,30,54,78
2413,66,47,22,58,81
2414,74,81,44,36,84
2415,88,42,16,53,79
2416,65,32,47,54,73
2417,71,70,20,66,83
2418,85,62,38,83,88
2419,72,54,42,100,86
2420,99,24,24,73,77
2421,71,59,47,38,80
2422,58,37,66,74,90
2423,90,79,0,51,83
2424,86,62,9,64,78
2425,81,57,34,86,73
2426,73,95,17,70,76
2427,88,80,53,44,82
2428,71,18,49,52,67
2429,80,80,22,66,69
2430,52,69,33,41,73
2431,73,59,12,0,92
2432,55,51,49,55,72
2433,74,78,55,67,90
2434,75,100,18,62,89
2435,94,99,45,77,81
2436,76,100,64,64,75
2437,82,78,16,68,68
2438,60,66,39,48,73
2439,85,53,25,43,80
2440,78,68,41,69,75
2441,80,21,0,43,87
2442,69,90,21,33,85
2443,67,63,40,35,87
2444,79,89,2,51,82
2445,83,20,97,42,77
2446,74,9,8,71,78
2447,61,58,100,96,82
2448,70,38,100,38,74
2449,65,32,65,76,84
2450,77,55,36,76,69
2451,82,41,70,24,83
2452,72,62,32,42,74
2453,75,54,20,92,81
2454,85,46,41,67,74
2455,71,54,25,25,62
2456,72,75,100,100,91
2457,72,55,44,100,72
2458,77,35,29,78,78
2459,70,50,47,37,86
2460,73,63,39,50,78
2461,72,75,60,84,65
2462,72,70,46,85,80
2463,63,54,36,82,81
2464,82,85,0,91,84
2465,92,71,21,30,82
2466,76,16,100,35,79
2467,85,53,100,77,86
2468,77,28,69,53,78
2469,82,100,48,31,78
2470,79,29,57,74,69
2471,58,82,63,59,78
2472,76,57,27,52,95
2473,75,58,58,75,86
2474,70,34,59,64,72
2475,73,32,82,65,72
2476,81,40,36,72,78
2477,89,100,68,54,67
2478,89,45,26,57,68
2479,84,81,42,29,72
2480,93,99,31,87,78
2481,83,72,9,53,87
2482,61,52,42,76,72
2483,74,62,50,35,89
2484,86,57,31,58,82
2485,79,69,74,68,80
2486,76,49,52,40,90
2487,100,42,51,43,76
2488,65,73,49,66,78
2489,61,67,28,66,72
2490,73,40,43,57,73
2491,74,52,16,81,94
2492,75,44,0,78,68
2493,78,28,74,69,84
2494,71,76,31,88,100
2495,45,30,23,37,76
2496,64,77,34,84,76
2497,81,39,21,67,86
2498,89,84,35,51,93
2499,84,84,20,54,86
2500,71,52,74,65,71
2501,84,44,54,83,87
2502,60,100,36,100,83
2503,92,96,39,62,76
2504,65,59,62,47,82
2505,73,64,47,90,91
2506,74,100,11,62,67
2507,75,35,44,44,89
2508,64,55,44,74,75
2509,84,75,32,56,83
2510,66,92,11,44,75
2511,94,62,35,34,75
2512,73,73,0,75,80
2513,74,92,4,81,93
2514,96,60,17,49,87
2515,62,65,70,71,83
2516,81,57,43,42,68
2517,86,63,55,55,71
2518,76,36,2,26,64
2519,72,30,29,91,89
2520,90,53,24,45,83
2521,67,47,49,50,81
2522,83,74,74,36,81
2523,97,92,19,91,72
2524,98,98,3,100,82
2525,75,47,35,97,68
2526,54,45,38,59,70
2527,81,32,16,68,78
2528,66,71,13,49,92
2529,75,76,41,4,66
2530,67,66,92,76,76
2531,91,46,0,36,79
2532,75,52,63,60,83
2533,76,47,44,26,78
2534,67,100,0,62,90
2535,76,54,0,71,76
2536,68,32,50,31,71
2537,71,39,50,84,95
2538,59,40,58,38,74
2539,72,28,28,85,70
2540,62,69,6,59,89
2541,86,46,60,77,77
2542,97,76,96,51,80
2543,80,100,72,59,85
2544,71,100,36,32,80
2545,79,74,24,44,77
2546,96,59,24,77,60
2547,70,40,30,88,72
2548,96,79,59,49,75
2549,55,68,43,56,63
2550,80,74,32,9,77
2551,62,68,52,43,74
2552,63,32,48,58,68
2553,90,63,47,100,75
2554,90,92,16,79,87
2555,72,70,65,53,91
2556,68,86,28,90,65
2557,79,60,0,40,76
2558,65,51,74,43,92
2559,80,76,98,49,88
2560,61,66,9,42,77
2561,74,57,12,60,67
2562,70,69,65,54,78
2563,91,59,73,70,79
2564,68,91,53,85,76
2565,85,81,33,67,82
2566,57,93,40,67,81
2567,83,25,48,82,88
2568,82,61,43,48,76
2569,81,74,29,65,73
2570,74,51,87,45,84
2571,77,47,18,59,88
2572,72,70,5,67,68
2573,56,47,38,67,81
2574,90,96,23,61,73
2575,81,59,2,73,79
2576,75,56,36,36,75
2577,52,94,75,74,84
2578,70,39,10,42,87
2579,82,42,35,82,90
2580,67,72,24,21,78
2581,69,78,12,85,79
2582,59,56,30,52,86
2583,79,61,2,84,68
2584,72,62,0,61,86
2585,86,75,19,60,80
2586,65,88,0,65,80
2587,65,45,43,60,85
2588,75,68,55,73,89
2589,81,30,86,74,82
2590,95,30,13,51,76
2591,74,46,65,71,71
2592,81,41,28,30,73
2593,80,58,93,70,86
2594,66,79,0,53,83
2595,97,100,38,61,83
2596,68,95,71,62,89
2597,73,56,57,73,66
2598,91,100,5,55,76
2599,82,71,5,53,64
2600,69,42,59,60,83
2601,74,47,37,7,91
2602,70,75,44,16,81
2603,65,87,27,42,76
2604,59,74,63,59,76
2605,85,82,29,35,84
2606,89,66,47,57,81
2607,60,62,31,80,93
2608,81,94,30,55,78
2609,81,78,60,60,71
2610,74,99,29,99,73
2611,80,45,19,86,75
2612,91,93,76,94,91
2613,67,49,20,46,97
2614,78,45,6,80,77
2615,78,71,0,67,88
2616,80,75,34,50,85
2617,77,39,11,57,78
2618,69,27,61,78,62
2619,61,76,14,74,88
2620,58,100,34,32,72
2621,65,73,65,75,87
2622,70,77,0,51,82
2623,75,36,0,59,81
2624,71,37,43,62,77
2625,83,51,72,37,97
2626,85,30,14,66,91
2627,61,60,70,68,71
2628,65,100,17,70,79
2629,84,52,0,70,68
2630,90,42,36,76,77
2631,69,45,49,55,71
2632,65,84,53,84,81
2633,59,59,66,68,77
2634,74,58,0,76,80
2635,87,100,39,46,96
2636,74,24,8,28,73
2637,54,25,48,6,76
2638,72,65,0,40,81
2639,55,36,81,29,76
2640,80,98,44,70,82
2641,54,40,30,77,90
2642,80,67,60,74,67
2643,62,67,48,63,60
2644,63,24,100,67,92
2645,82,71,0,74,91
2646,58,23,23,80,73
2647,84,66,15,35,72
2648,73,61,48,100,79
2649,99,39,86,66,86
2650,86,52,35,50,77
2651,92,84,52,50,79
2652,80,30,66,66,80
2653,73,93,58,74,76
2654,84,75,27,52,87
2655,76,61,31,61,74
2656,70,71,0,57,70
2657,71,100,25,72,86
2658,76,30,21,61,89
2659,61,90,69,64,81
2660,89,100,0,54,86
2661,56,67,0,44,72
2662,64,97,93,70,74
2663,74,52,41,39,90
2664,80,69,97,51,91
2665,80,100,0,35,71
2666,65,88,30,35,66
2667,80,73,17,74,82
2668,70,100,99,52,79
2669,82,87,37,48,82
2670,83,100,37,25,77
2671,80,48,28,61,85
2672,86,100,56,49,77
2673,75,100,57,64,78
2674,71,61,53,82,62
2675,84,55,68,66,78
2676,92,10,0,29,97
2677,69,100,60,69,82
2678,73,53,21,88,82
2679,81,47,18,55,96
2680,75,50,20,72,80
2681,73,42,21,53,96
2682,58,54,84,100,73
2683,86,50,56,68,70
2684,68,74,66,88,87
2685,64,71,4,44,70
2686,82,72,73,66,64
2687,72,21,12,28,81
2688,92,67,57,100,80
2689,77,59,40,46,89
2690,84,92,80,41,79
2691,71,64,38,56,74
2692,84,100,19,60,83
2693,83,45,72,81,88
2694,81,38,38,40,62
2695,74,58,57,58,81
2696,74,69,100,87,78
2697,88,60,57,56,71
2698,74,72,19,89,83
2699,80,95,44,67,79
2700,71,81,31,95,77
2701,63,28,44,39,85
2702,79,77,41,71,81
2703,89,79,51,81,96
2704,60,69,42,17,82
2705,80,29,48,71,67
2706,70,67,46,84,91
2707,69,58,56,37,77
2708,53,76,31,59,73
2709,81,83,0,58,77
2710,72,94,10,69,86
2711,64,100,77,56,73
2712,59,12,84,50,69
2713,74,85,47,32,86
2714,84,72,87,39,87
2715,69,54,0,42,84
2716,71,72,43,61,75
2717,74,84,49,50,86
2718,70,72,26,93,78
2719,73,60,0,48,70
2720,74,65,25,18,77
2721,75,44,23,33,79
2722,66,36,79,43,74
2723,73,52,62,95,93
2724,91,56,45,50,74
2725,69,55,70,61,75
2726,76,77,83,40,84
2727,71,76,74,63,77
2728,66,100,42,63,81
2729,94,91,3,90,75
2730,77,82,34,79,76
2731,82,20,29,58,94
2732,80,49,46,59,84
2733,87,62,10,39,81
2734,67,9,48,43,85
2735,73,55,49,42,86
2736,81,55,43,49,100
2737,79,75,60,100,84
2738,66,52,48,52,61
2739,84,97,29,33,82
2740,74,85,45,64,73
2741,77,81,56,54,79
2742,82,80,24,65,74
2743,75,52,27,58,76
2744,76,85,66,27,76
2745,79,50,86,100,65
2746,56,85,50,67,90
2747,91,80,0,40,76
2748,72,47,66,25,85
2749,81,96,58,76,75
2750,52,88,64,40,76
2751,74,43,60,68,79
2752,63,61,13,29,82
2753,77,100,20,46,86
2754,62,51,0,36,71
2755,75,79,36,51,83
2756,73,53,15,66,76
2757,74,83,0,61,83
2758,68,45,49,60,72
2759,78,47,0,38,83
2760,72,100,1,57,88
2761,65,68,65,71,69
2762,73,63,22,57,76
2763,78,79,19,71,71
2764,79,37,35,54,94
2765,83,72,46,65,85
2766,61,80,24,66,100
2767,93,100,78,74,73
2768,80,45,45,28,89
2769,79,92,46,85,76
2770,61,92,32,32,80
2771,95,36,25,100,94
2772,81,72,47,61,78
2773,76,80,27,61,74
2774,97,53,54,62,81
2775,80,24,62,63,89
2776,62,80,25,74,81
2777,73,58,14,6,83
2778,71,74,22,52,72
2779,77,73,44,63,82
2780,95,82,50,43,80
2781,74,54,0,63,81
2782,77,79,38,52,71
2783,67,61,51,99,80
2784,90,62,34,41,82
2785,76,97,88,100,86
2786,63,57,24,12,86
2787,78,44,38,95,84
2788,64,89,59,56,76
2789,77,100,54,82,84
2790,74,24,62,68,80
2791,74,58,32,87,81
2792,63,39,100,29,85
2793,72,53,95,46,82
2794,73,73,17,91,84
2795,76,87,0,37,79
2796,84,72,30,50,67
2797,59,38,22,46,86
2798,89,42,46,64,79
2799,71,7,35,63,79
2800,76,100,59,63,79
2801,79,69,47,76,62
2802,82,35,44,99,76
2803,82,43,0,48,87
2804,80,66,46,5,93
2805,66,68,60,53,73
2806,86,46,20,26,68
2807,77,85,26,91,66
2808,65,100,59,72,73
2809,64,69,30,70,84
2810,62,65,74,53,89
2811,75,20,72,59,83
2812,66,56,64,64,86
2813,80,72,40,66,73
2814,74,81,42,54,80
2815,73,100,0,41,84
2816,52,68,63,81,82
2817,74,71,52,26,83
2818,78,73,26,49,79
2819,92,72,19,56,83
2820,74,78,2,81,82
2821,69,70,47,72,69
2822,69,87,74,39,83
2823,85,78,55,23,84
2824,69,57,23,42,86
2825,76,85,12,24,62
2826,68,91,21,73,84
2827,69,38,27,64,72
2828,68,100,47,76,76
2829,68,44,71,55,81
2830,91,73,14,48,87
2831,90,43,11,65,81
2832,66,63,41,60,77
2833,69,100,85,6,100
2834,58,100,71,57,68
2835,91,67,1,71,83
2836,82,72,59,90,75
2837,95,19,56,44,81
2838,80,100,53,70,82
2839,79,73,37,63,100
2840,78,73,39,47,70
2841,74,53,22,75,79
2842,60,47,51,72,77
2843,66,50,43,58,80
2844,53,73,72,45,85
2845,72,46,59,15,77
2846,58,63,99,27,75
2847,91,54,8,47,84
2848,83,83,70,84,70
2849,74,76,66,100,88
2850,83,32,4,54,88
2851,86,3,61,89,81
2852,71,50,66,64,89
2853,89,54,56,19,94
2854,75,31,45,48,62
2855,87,84,30,37,74
2856,100,59,44,80,73
2857,55,39,18,50,85
2858,79,78,41,50,82
2859,79,60,27,50,76
2860,92,55,31,36,88
2861,85,39,18,43,84
2862,55,92,35,59,100
2863,74,29,21,59,70
2864,76,44,35,39,70
2865,60,44,32,41,93
2866,60,93,76,31,76
2867,71,75,45,59,83
2868,67,34,0,100,85
2869,76,33,54,34,69
2870,66,82,58,56,73
2871,47,64,14,62,66
2872,74,36,100,41,83
2873,79,56,1,36,93
2874,86,67,38,42,89
2875,93,75,31,74,84
2876,55,47,21,68,82
2877,81,50,28,63,61
2878,54,61,60,60,81
2879,83,75,26,76,71
2880,79,100,42,31,69
2881,73,77,3,100,79
2882,72,59,35,100,79
2883,69,38,28,75,71
2884,68,73,34,46,78
2885,80,17,67,20,71
2886,79,11,0,70,84
2887,83,23,15,44,80
2888,69,34,46,36,82
2889,73,72,51,61,63
2890,85,39,0,40,73
2891,78,29,17,56,65
2892,75,72,37,95,75
2893,66,100,0,61,79
2894,93,86,22,57,78
2895,74,43,60,57,69
2896,62,56,18,44,75
2897,93,33,21,53,90
2898,63,50,39,44,99
2899,60,76,28,14,79
2900,90,86,40,100,77
2901,79,64,16,87,77
2902,71,86,50,43,77
2903,69,58,0,46,74
2904,75,78,24,26,75
2905,80,70,34,52,77
2906,75,40,57,54,72
2907,64,90,29,45,72
2908,80,77,39,43,72
2909,64,55,8,67,87
2910,86,88,100,44,74
2911,74,62,49,36,79
2912,75,54,0,65,80
2913,58,70,13,54,77
2914,80,68,0,15,80
2915,76,100,66,59,68
2916,78,55,47,43,88
2917,64,53,14,70,87
2918,74,83,37,66,61
2919,71,52,68,53,80
2920,87,60,70,51,78
2921,75,69,14,96,64
2922,77,92,67,79,81
2923,69,32,57,86,82
2924,73,37,58,71,87
2925,77,71,40,29,79
2926,70,18,49,68,85
2927,84,11,36,31,81
2928,72,91,51,51,85
2929,69,26,84,30,85
2930,73,85,0,81,87
2931,82,47,64,70,76
2932,57,91,39,58,80
2933,78,65,31,96,83
2934,75,29,25,35,97
2935,81,89,77,52,75
2936,80,78,44,78,67
2937,64,79,78,60,88
2938,72,65,19,65,80
2939,78,23,47,78,75
2940,100,52,66,97,75
2941,73,46,25,25,74
2942,81,46,88,74,83
2943,69,61,13,84,62
2944,73,38,45,89,81
2945,81,27,0,61,81
2946,70,62,100,57,87
2947,85,100,93,91,76
2948,66,45,32,50,74
2949,71,75,37,71,79
2950,63,20,14,67,85
2951,60,91,26,59,67
2952,74,54,73,45,76
2953,83,69,17,42,85
2954,81,52,39,57,86
2955,83,89,54,60,74
2956,83,36,37,21,67
2957,71,20,23,45,84
2958,84,27,27,70,78
2959,55,39,50,30,81
2960,87,89,0,74,74
2961,86,34,61,63,80
2962,74,51,44,53,73
2963,78,70,32,52,81
2964,70,70,59,51,82
2965,68,89,47,56,84
2966,96,79,84,31,71
2967,89,51,96,67,100
2968,81,100,77,84,87
2969,71,84,43,56,81
2970,73,100,0,67,90
2971,80,100,88,24,62
2972,82,100,19,88,83
2973,63,79,46,51,78
2974,53,65,5,76,75
2975,73,7,72,59,87
2976,91,39,77,91,75
2977,65,30,21,51,88
2978,71,100,27,52,96
2979,72,67,0,64,61
2980,79,62,51,51,74
2981,86,80,30,71,83
2982,77,76,19,76,82
2983,71,100,16,50,78
2984,73,87,24,22,84
2985,70,76,27,76,72
2986,86,53,62,48,81
2987,66,35,41,70,81
2988,89,36,62,40,74
2989,73,36,15,35,85
2990,47,64,0,69,70
2991,77,49,65,28,85
2992,56,40,0,48,72
2993,59,53,12,49,74
2994,94,68,65,66,87
2995,77,61,48,34,95
2996,73,58,86,50,87
2997,67,58,68,56,87
2998,69,37,47,37,97
2999,72,23,89,84,64
3000,80,89,74,60,62
3001,79,67,49,60,74
3002,59,91,43,68,76
3003,87,63,5,60,77
3004,76,45,61,79,79
3005,83,45,47,78,68
3006,93,75,34,81,97
3007,67,71,39,61,68
3008,76,62,62,34,71
3009,69,100,67,75,78
3010,72,67,8,62,79
3011,77,27,36,57,88
3012,65,36,0,67,81
3013,57,68,0,69,73
3014,69,95,43,43,73
3015,77,87,21,59,82
3016,83,38,40,32,82
3017,54,59,50,43,74
3018,65,97,26,78,83
3019,92,30,9,75,82
3020,87,42,87,60,75
3021,65,60,39,38,83
3022,70,80,43,42,89
3023,80,59,85,88,92
3024,66,38,35,81,80
3025,81,29,44,38,70
3026,54,79,22,40,77
3027,64,56,29,8,93
3028,88,94,24,80,90
3029,52,48,11,57,80
3030,71,67,0,59,82
3031,68,44,6,71,71
3032,72,98,40,38,83
3033,60,61,95,54,89
3034,78,42,0,32,82
3035,80,56,36,32,65
3036,75,81,95,87,83
3037,71,73,19,64,78
3038,52,54,2,87,81
3039,79,95,11,21,85
3040,77,100,0,53,65
3041,64,62,28,100,78
3042,81,16,57,49,88
3043,59,66,63,67,86
3044,63,84,71,59,62
3045,55,85,22,43,72
3046,66,64,38,61,81
3047,82,80,29,89,89
3048,97,72,77,80,69
3049,78,80,7,63,74
3050,72,47,57,55,68
3051,77,66,63,68,88
3052,74,62,49,36,67
3053,88,72,0,74,75
3054,73,92,70,7,82
3055,62,87,21,80,76
3056,74,58,6,26,77
3057,80,57,54,61,82
3058,63,54,77,92,68
3059,83,86,45,84,73
3060,82,61,10,69,93
3061,71,54,0,52,91
3062,88,100,43,74,81
3063,71,47,31,56,78
3064,66,100,92,42,84
3065,81,40,48,80,73
3066,71,56,100,48,74
3067,70,72,25,79,67
3068,89,77,36,57,72
3069,73,87,63,26,85
3070,82,84,17,65,89
3071,66,60,0,90,90
3072,80,26,55,52,74
3073,71,25,60,55,93
3074,59,68,38,27,84
3075,63,100,26,86,65
3076,75,97,74,65,70
3077,81,99,77,60,74
3078,81,46,47,38,79
3079,93,93,29,68,83
3080,88,36,72,48,88
3081,88,65,37,45,73
3082,70,69,25,45,84
3083,81,99,8,100,77
3084,65,57,33,78,82
3085,79,82,10,63,83
3086,73,73,6,69,76
3087,81,70,62,84,78
3088,66,53,0,56,69
3089,77,100,55,54,82
3090,84,60,5,57,88
3091,73,54,23,85,84
3092,81,86,71,55,88
3093,83,78,0,4,83
3094,60,88,28,29,99
3095,79,44,74,90,81
3096,73,90,0,75,77
3097,70,70,0,65,85
3098,88,64,16,93,73
3099,68,71,60,100,89
3100,63,86,7,62,72
3101,78,67,54,14,80
3102,88,53,14,87,75
3103,71,54,38,29,80
3104,96,100,81,44,86
3105,74,58,3,58,75
3106,88,47,78,42,85
3107,86,25,27,55,80
3108,100,61,6,71,82
3109,82,65,24,50,91
3110,79,74,69,90,60
3111,72,43,34,46,80
3112,79,48,8,71,84
3113,75,68,49,28,91
3114,87,66,56,46,87
3115,73,58,52,79,78
3116,92,85,58,70,80
3117,58,37,59,57,88
3118,95,39,39,52,73
3119,72,85,11,50,89
3120,71,54,42,45,89
3121,54,62,67,67,76
3122,75,59,75,77,77
3123,73,75,15,33,78
3124,65,100,23,73,82
3125,62,6,28,50,84
3126,64,33,69,90,82
3127,66,72,14,78,81
3128,79,48,14,44,82
3129,84,62,40,49,69
3130,87,55,38,63,80
3131,82,52,7,22,70
3132,83,74,63,37,69
3133,78,80,55,94,75
3134,70,39,19,64,80
3135,89,40,100,89,95
3136,57,48,12,58,77
3137,81,59,63,65,80
3138,59,75,40,77,70
3139,68,100,84,58,71
3140,79,53,73,67,82
3141,80,39,31,48,71
3142,56,61,3,77,93
3143,68,53,30,60,71
3144,86,76,55,100,89
3145,80,88,27,29,77
3146,75,90,93,71,79
3147,77,89,30,25,77
3148,83,41,14,52,78
3149,81,62,76,46,75
3150,63,68,32,14,71
3151,61,91,54,40,85
3152,80,26,51,48,77
3153,86,56,40,88,71
3154,73,31,6,43,58
3155,63,76,35,49,74
3156,73,40,70,67,81
3157,70,51,49,50,86
3158,80,63,26,62,85
3159,86,95,77,98,82
3160,79,92,41,70,80
3161,89,61,52,61,78
3162,71,58,15,43,82
3163,58,64,67,100,83
3164,56,100,26,66,79
3165,65,40,60,35,75
3166,67,83,21,41,81
3167,57,34,51,49,85
3168,77,85,27,56,69
3169,73,43,22,87,67
3170,54,36,33,84,78
3171,61,75,76,65,95
3172,73,66,26,31,91
3173,87,96,48,78,73
3174,74,100,24,44,81
3175,70,44,42,57,68
3176,82,2,77,28,74
3177,71,56,39,47,73
3178,67,0,0,49,80
3179,82,64,5,54,80
3180,77,30,100,63,87
3181,76,64,100,66,76
3182,76,47,32,49,80
3183,64,59,55,37,78
3184,68,83,50,33,52
3185,82,100,29,36,77
3186,77,53,6,21,92
3187,53,98,93,58,79
3188,67,65,13,76,68
3189,79,60,58,39,84
3190,85,47,28,55,90
3191,65,60,100,62,83
3192,86,44,19,80,84
3193,58,54,29,49,62
3194,85,87,34,68,75
3195,65,21,51,45,82
3196,84,36,54,75,72
3197,65,86,51,61,80
3198,79,75,36,84,77
3199,72,89,74,37,85
3200,88,83,58,71,83
3201,67,94,100,70,89
3202,75,47,69,46,88
3203,74,100,31,25,62
3204,100,95,30,57,94
3205,70,78,77,39,72
3206,67,37,67,94,72
3207,63,62,36,70,88
3208,76,92,100,68,78
3209,73,57,59,71,80
3210,78,52,81,70,75
3211,74,48,38,63,80
3212,84,47,28,51,83
3213,99,39,74,55,79
3214,82,67,85,71,73
3215,72,17,67,80,95
3216,69,28,0,56,79
3217,56,22,16,100,89
3218,84,85,0,58,77
3219,84,99,47,53,75
3220,77,47,39,68,90
3221,66,69,0,48,81
3222,89,62,0,88,77
3223,85,53,8,39,75
3224,66,48,65,65,91
3225,80,87,26,85,70
3226,65,58,29,75,76
3227,73,52,45,55,78
3228,60,5,57,64,82
3229,96,59,0,64,71
3230,85,29,51,63,82
3231,85,23,66,68,86
3232,74,47,0,73,75
3233,64,61,48,89,80
3234,59,38,58,81,82
3235,85,75,55,76,76
3236,83,74,31,70,83
3237,78,67,36,15,82
3238,54,42,0,59,79
3239,54,70,28,54,77
3240,71,100,79,88,76
3241,86,71,52,51,75
3242,71,68,0,38,80
3243,81,67,26,35,86
3244,79,94,43,43,82
3245,69,59,74,22,77
3246,77,75,18,65,90
3247,87,35,49,53,81
3248,83,71,18,18,91
3249,92,15,12,36,83
3250,87,73,0,42,93
3251,63,94,43,54,80
3252,69,99,40,43,77
3253,68,78,51,68,88
3254,77,0,49,64,75
3255,67,76,33,63,83
3256,79,62,86,28,75
3257,60,100,25,46,83
3258,62,51,48,34,80
3259,97,64,22,87,84
3260,79,62,73,57,79
3261,80,54,37,40,85
3262,62,54,24,83,91
3263,77,56,92,43,77
3264,78,100,31,41,84
3265,56,75,6,79,79
3266,72,79,43,40,84
3267,70,61,0,66,95
3268,79,78,24,61,89
3269,82,55,41,51,71
3270,68,100,13,100,76
3271,62,54,27,55,82
3272,82,64,65,59,75
3273,70,64,24,69,73
3274,80,66,43,63,78
3275,87,57,26,63,85
3276,83,39,28,81,79
3277,67,100,24,38,83
3278,65,100,17,45,81
3279,87,50,33,19,97
3280,74,63,72,35,79
3281,84,100,41,69,92
3282,76,53,74,71,73
3283,88,73,63,47,90
3284,80,26,48,78,89
3285,56,100,45,62,92
3286,66,79,57,77,73
3287,74,55,40,56,77
3288,61,90,66,55,77
3289,94,40,83,52,75
3290,78,74,0,53,89
3291,70,70,69,52,87
3292,89,46,0,85,68
3293,74,86,41,86,60
3294,79,46,39,52,76
3295,67,100,70,93,76
3296,64,45,26,50,76
3297,65,43,66,91,66
3298,43,88,76,30,59
3299,75,29,51,62,87
3300,80,62,24,66,94
3301,79,32,35,73,77
3302,72,93,56,48,91
3303,62,62,38,88,79
3304,75,67,64,46,65
3305,70,32,56,32,77
3306,79,85,74,90,67
3307,87,47,67,75,75
3308,77,50,34,41,76
3309,76,45,33,75,82
3310,87,34,27,33,85
3311,54,77,8,100,67
3312,48,93,4,100,86
3313,75,76,34,72,82
3314,69,67,19,39,71
3315,85,47,47,48,74
3316,68,23,0,28,83
3317,97,79,0,100,85
3318,64,91,18,40,82
3319,80,81,15,77,90
3320,61,52,38,45,76
3321,79,8,39,41,75
3322,74,48,54,59,91
3323,80,74,33,53,71
3324,90,61,31,58,77
3325,79,63,10,41,76
3326,68,69,32,61,84
3327,79,100,13,73,77
3328,80,88,41,91,77
3329,88,100,46,74,87
3330,80,1,37,56,79
3331,62,73,59,68,83
3332,81,31,51,39,80
3333,81,30,0,38,80
3334,67,46,73,40,79
3335,68,94,9,37,78
3336,63,100,70,84,90
3337,88,78,68,100,66
3338,66,100,38,58,79
3339,82,43,45,96,65
3340,93,64,8,74,88
3341,80,40,16,59,85
3342,84,54,77,29,92
3343,79,70,70,61,72
3344,70,55,71,77,73
3345,74,50,68,39,86
3346,63,85,56,94,83
3347,72,62,16,31,75
3348,82,80,10,69,95
3349,82,18,100,50,77
3350,82,50,66,93,78
3351,80,63,10,43,59
3352,70,86,79,100,96
3353,76,79,20,24,92
3354,80,80,40,62,71
3355,79,43,51,78,79
3356,68,33,36,74,94
3357,81,100,31,58,81
3358,86,32,21,56,72
3359,76,42,36,53,88
3360,69,65,16,83,77
3361,72,36,37,24,81
3362,66,77,48,29,64
3363,70,47,46,65,75
3364,75,93,86,51,68
3365,83,100,31,44,92
3366,73,13,60,72,83
3367,81,84,75,40,74
3368,79,100,0,54,80
3369,78,55,52,80,64
3370,69,3,0,62,89
3371,70,70,64,94,57
3372,67,95,55,98,82
3373,70,38,29,76,72
3374,69,78,44,100,76
3375,40,41,39,48,61
3376,69,87,8,77,67
3377,63,100,71,40,65
3378,82,16,94,27,83
3379,82,62,55,22,99
3380,69,57,24,67,83
3381,81,42,21,64,84
3382,72,53,72,80,80
