准考證號,國文,英文,數學
5469,72,50,59
2984,73,87,24
8832,69,3,27
2573,56,47,38
3927,88,75,52
8342,87,89,82
1234,84,87,0
1876,86,70,73
8702,64,71,43
4341,86,49,28
9447,100,82,49
7068,82,40,77
8356,84,41,30
5397,82,73,97
8711,87,15,0
2845,72,46,59
6215,71,100,39
5017,62,78,49
4347,71,40,0
1296,87,76,40
5103,69,69,0
510,53,97,6
7906,83,41,0
9931,71,89,0
5704,82,61,35
8490,83,51,50
4731,65,35,8
812,68,70,5
5051,82,43,34
6397,70,100,34
905,83,43,54
4702,71,44,50
5687,66,92,24
3632,70,40,0
7045,75,87,21
4760,86,100,45
8524,66,84,37
7232,59,31,38
132,77,95,74
1340,92,29,0
9591,86,100,79
323,81,92,53
971,77,81,22
1073,68,38,51
8421,79,100,54
9577,90,73,8
9233,73,87,0
8234,71,15,27
9639,72,52,20
5132,61,50,44
5228,70,100,21
7406,74,73,25
3768,57,86,85
6001,69,32,25
9671,100,66,20
6779,71,43,1
9207,82,29,50
1283,67,31,42
1872,68,100,69
4423,72,85,0
7557,90,98,22
3793,73,37,10
7336,67,51,31
402,76,58,21
6179,70,84,80
1910,76,32,0
4449,75,60,17
263,86,57,61
2521,67,47,49
7201,75,46,55
3651,75,98,22
1117,65,89,23
9190,69,52,46
8997,90,79,14
5903,69,65,76
3137,81,59,63
1393,65,38,50
6183,70,61,30
826,58,50,63
7427,73,62,21
2657,71,100,25
2086,62,52,32
3323,80,74,33
9234,77,46,72
7881,77,39,12
3406,62,35,79
6967,74,78,10
728,79,37,28
3256,79,62,86
9411,44,76,6
4400,86,60,74
1814,78,85,48
8679,66,58,57
681,62,62,67
8869,71,79,26
4793,66,47,64
8090,66,52,33
4803,89,65,26
1604,92,71,29
1248,75,44,8
6486,58,73,31
6255,86,29,59
7560,80,100,51
8048,75,97,37
6734,67,43,21
1155,53,60,73
386,65,61,48
7856,66,48,10
9837,96,35,29
1090,45,30,39
8432,74,29,41
7307,84,73,28
4704,90,0,31
8065,99,84,18
7289,88,66,55
6680,73,35,44
3809,82,55,39
7914,59,96,64
917,87,25,43
7899,70,55,0
7174,79,20,56
1675,74,25,18
6099,78,44,1
8722,64,45,61
4921,70,18,2
7367,66,100,43
2846,58,63,99
4759,82,70,48
8231,69,49,43
8919,54,100,39
4085,75,62,13
4971,95,100,38
3840,70,100,49
9258,84,69,45
1731,92,46,24
759,70,65,56
3023,80,59,85
5833,67,76,74
4149,76,95,29
2524,98,98,3
8289,61,47,34
4761,80,17,56
1847,84,28,38
7998,81,51,26
2986,86,53,62
937,71,45,48
4050,62,78,34
6956,97,19,71
7511,85,32,33
7436,81,63,54
6641,70,32,17
5142,69,59,58
2044,73,43,32
7454,89,52,56
8634,90,68,0
2381,78,100,93
9961,54,99,32
8438,78,20,24
9155,70,94,48
4245,64,100,66
9501,61,10,17
1148,91,22,34
5179,80,56,21
6322,90,67,54
8335,87,0,19
8830,73,8,54
9651,82,100,27
1406,71,28,41
3275,87,57,26
9004,68,73,81
1329,69,33,5
9064,83,90,0
8317,67,67,55
3965,66,54,60
8311,67,57,2
7327,68,75,52
9623,67,90,39
5595,82,56,24
4036,79,55,31
1593,60,33,41
9884,63,96,0
6706,84,34,39
3622,67,87,73
3665,78,93,65
9542,85,85,40
486,76,52,34
3962,84,35,60
5309,75,58,26
9516,87,32,7
8407,70,38,33
7800,71,20,27
8714,78,68,62
653,83,73,61
4583,88,82,35
5458,85,69,91
7982,78,30,50
9631,79,98,53
850,95,74,61
927,84,82,56
5645,86,32,65
4430,60,56,7
5346,49,93,51
915,69,77,9
1183,78,61,37
3466,58,91,26
171,70,73,62
9842,75,22,56
4203,98,45,0
1311,61,56,2
5484,72,100,0
9869,70,88,16
7756,83,46,74
1603,81,74,52
5678,83,51,0
592,62,45,42
5495,77,48,49
2372,67,79,14
4360,81,39,37
9784,83,100,20
5675,100,96,57
7634,68,48,19
1723,69,100,44
2634,74,58,0
9551,68,64,43
1046,85,88,0
1867,64,84,63
7723,72,49,75
9689,88,85,12
2738,66,52,48
1986,81,71,10
8399,75,76,31
9079,76,48,48
1719,71,77,51
4544,90,92,56
8876,70,97,52
7645,57,68,58
7869,74,100,21
7633,90,31,0
8618,69,52,70
2798,89,42,46
6815,61,53,0
6509,68,40,32
5546,76,13,72
9236,69,44,35
3014,69,95,43
2860,92,55,31
9727,65,71,57
5022,59,65,0
494,86,45,30
6861,50,39,100
7442,73,46,51
8672,80,60,9
2120,83,30,25
4481,81,0,60
6171,87,60,26
908,65,40,47
8565,81,100,24
3328,80,88,41
6929,69,55,87
4470,66,88,47
8303,84,54,92
8357,57,100,46
6809,56,69,73
948,87,84,66
1306,68,28,33
4188,78,87,0
740,84,93,43
2921,75,69,14
3521,64,54,61
8703,86,67,0
965,46,19,27
841,78,38,20
6689,97,60,0
3077,81,99,77
8461,69,88,97
9215,69,57,8
967,73,50,56
8168,79,38,32
7106,87,63,49
1395,72,83,96
1824,83,85,84
6162,81,76,36
7105,74,19,37
1313,76,64,82
9682,88,68,40
8354,54,85,83
8611,62,98,60
3176,82,2,77
5222,64,57,20
1792,70,43,42
7815,74,9,34
2055,56,100,34
7937,88,94,47
5692,78,51,26
8741,96,17,26
4752,75,54,63
7675,64,44,29
9136,78,60,56
8529,74,69,71
1558,79,58,21
7699,74,37,33
4238,74,73,30
3674,87,52,50
7374,80,93,57
9839,77,79,62
8486,78,75,42
3116,92,85,58
6253,83,57,73
9489,100,24,0
1452,69,67,38
7657,64,72,35
9564,66,63,25
8219,86,55,59
1219,67,94,0
5024,88,100,88
1177,93,67,67
3881,75,62,31
6980,71,95,100
8816,71,35,63
7107,74,51,12
8757,69,76,49
3160,79,92,41
6629,71,56,31
297,84,66,36
8712,76,58,100
9145,80,92,0
4678,57,43,51
9150,78,53,50
2745,79,50,86
5315,67,66,42
9563,76,48,47
4185,79,91,76
9825,80,35,68
2938,72,65,19
3036,75,81,95
3899,74,29,38
1364,78,75,87
2154,74,57,22
3282,76,53,74
3325,79,63,10
8854,74,34,55
7157,71,56,68
5319,75,100,0
1802,81,88,0
8729,69,75,6
4566,77,87,24
9902,81,70,27
8265,72,88,37
5780,78,100,74
513,64,34,50
2717,74,84,49
5616,84,83,0
4962,76,27,39
440,86,99,10
4837,100,80,29
1699,81,84,80
8144,71,96,54
6494,96,85,59
6482,93,64,48
14,66,100,28
5684,85,48,65
3203,74,100,31
9558,75,76,26
8723,82,93,69
1328,72,33,17
7254,98,58,44
6910,73,63,64
3952,74,35,30
5659,71,90,61
8871,77,22,37
9795,70,30,56
3373,70,38,29
3991,68,36,16
552,67,77,0
4486,75,61,37
9211,72,89,83
5266,83,92,24
1345,74,49,43
1381,73,72,43
1354,70,80,26
9939,63,100,25
4507,96,100,33
6670,86,75,16
1972,61,46,0
6686,96,26,21
5947,81,62,97
1258,80,99,62
5255,78,88,61
6274,88,80,34
5639,85,100,59
882,77,75,38
9048,89,34,61
6539,82,100,35
2980,79,62,51
3478,61,37,22
7712,83,59,87
8948,76,73,0
6221,69,49,34
5816,67,49,31
2696,74,69,100
16,65,48,21
8993,97,77,57
479,73,89,50
1994,80,70,18
3114,87,66,56
149,77,32,27
2465,92,71,21
3639,76,79,85
1369,80,67,31
3413,73,46,17
9117,96,50,68
9495,62,57,0
4482,74,67,90
6741,66,66,4
342,76,59,92
9237,82,31,30
2313,73,62,14
1284,86,51,44
1609,70,64,17
4067,79,80,32
3293,74,86,41
79,81,49,12
7887,74,88,55
3655,63,74,65
2158,98,30,80
7941,81,33,54
8713,72,60,0
2174,89,72,0
2061,82,100,40
5373,63,100,44
559,93,100,3
9752,60,93,45
9256,59,0,23
7252,70,95,0
2823,85,78,55
9480,96,69,54
1273,79,90,38
9232,70,85,83
2473,75,58,58
2869,76,33,54
264,84,83,20
4587,62,100,14
94,77,78,33
3144,86,76,55
5510,61,53,57
3766,63,39,23
7927,59,26,66
8204,69,44,17
1462,73,63,72
2491,74,52,16
8694,69,73,20
1949,100,47,25
3581,64,66,41
194,77,74,42
8890,87,56,96
13,69,58,66
7401,91,100,45
9463,74,63,0
3187,53,98,93
3752,87,64,0
229,80,63,60
7462,78,19,0
3567,85,66,48
4606,66,100,3
3744,69,62,34
1540,73,83,40
6315,94,100,83
2689,77,59,40
6842,65,43,0
2756,73,53,15
8860,81,34,13
8660,69,55,22
4391,72,49,32
639,90,32,40
5939,91,45,20
5623,80,59,80
3279,87,50,33
2091,66,100,42
9959,84,45,22
6092,80,37,49
7328,82,94,83
3657,78,52,10
941,64,67,47
6418,78,41,15
272,73,60,56
3808,63,89,55
4917,67,100,59
8502,69,34,100
3904,76,61,5
581,77,24,48
7263,71,32,20
3876,63,68,53
744,69,73,7
3192,86,44,19
5789,72,44,85
8995,70,64,4
7141,68,75,37
28,91,92,48
5961,74,94,75
760,77,71,59
5044,85,65,57
7788,58,57,79
9765,75,63,61
4617,85,100,41
9816,69,49,29
7954,54,36,43
7463,64,75,72
6666,74,50,49
7272,73,100,50
989,64,85,66
3683,70,83,32
3742,78,41,65
628,69,92,47
9778,64,65,41
3168,77,85,27
3094,60,88,28
3580,58,91,7
3179,82,64,5
3372,67,95,55
3559,69,64,12
1017,70,95,38
53,64,100,50
3061,71,54,0
9356,90,100,39
5326,97,72,23
2312,73,82,0
884,74,60,24
5243,67,32,93
6053,86,60,76
4764,77,73,33
4272,79,90,61
4074,88,45,38
8370,75,62,4
693,88,43,23
2188,84,44,5
4737,76,69,72
9277,69,71,91
1484,70,90,23
8515,78,71,57
4555,91,59,16
9647,66,12,0
9381,87,33,87
5028,81,69,60
3443,82,48,56
9125,86,73,47
6432,67,42,83
8555,60,100,49
9820,75,27,62
9709,43,64,36
5102,74,53,21
7942,81,97,0
3189,79,60,58
3707,82,51,82
3926,73,100,47
593,63,51,31
8648,90,48,59
9408,67,91,57
7257,83,100,52
9260,67,75,45
48,73,25,0
8022,83,100,31
7181,71,31,38
3124,65,100,23
9734,77,26,38
1147,82,78,35
4006,69,70,0
1107,66,35,27
578,72,76,79
5000,74,60,77
3212,84,47,28
8774,94,79,47
8315,77,36,39
6407,79,84,50
3887,80,53,35
6483,65,84,91
8184,100,32,24
7664,87,72,9
95,87,43,12
4967,70,82,100
8287,75,60,49
6033,74,78,3
1908,77,57,0
983,79,86,63
3153,86,56,40
4520,66,13,47
7010,79,78,74
5667,74,63,66
4376,70,98,75
6578,75,65,19
3769,57,60,85
3267,70,61,0
4147,57,81,96
5339,61,54,61
4096,82,69,16
1786,74,88,53
7054,70,63,19
3681,79,25,0
2395,85,87,54
8732,63,47,71
4462,81,84,56
155,74,44,22
2531,91,46,0
4593,52,90,59
4037,70,85,0
4895,81,49,18
7189,75,63,11
8142,70,81,18
2484,86,57,31
156,78,70,9
4441,74,42,49
1575,72,60,47
3910,73,93,6
7897,70,40,27
9757,76,73,75
6166,76,67,16
8047,74,69,27
5809,66,100,18
299,64,87,0
8982,72,94,23
8113,71,11,74
6742,63,94,69
4732,71,42,33
3712,68,57,52
3593,72,100,48
9191,78,75,22
3543,77,31,47
3057,80,57,54
4914,77,57,29
3492,66,37,44
5177,78,62,34
2296,80,27,43
9402,77,54,23
5568,63,29,36
8355,66,65,25
8288,69,62,90
7597,70,82,27
7154,62,63,0
3387,77,42,38
2194,61,100,18
1653,69,67,37
3217,56,22,16
1482,71,61,42
8193,79,58,50
719,72,64,3
5164,75,93,68
5313,83,44,51
135,90,61,66
6849,68,41,58
4499,77,38,6
2258,76,50,0
2527,81,32,16
8447,69,48,40
3673,72,97,52
4612,92,49,26
6978,93,42,56
7357,88,74,74
4630,75,97,29
6187,85,82,37
2417,71,70,20
866,79,37,55
354,58,68,59
6881,75,77,28
2820,74,78,2
3164,56,100,26
5311,79,50,68
6195,72,92,60
4235,73,99,28
1984,65,72,67
2639,55,36,81
8546,70,66,3
799,77,73,67
3268,79,78,24
9016,57,70,47
9519,77,38,0
6271,68,35,0
7346,74,100,28
2783,67,61,51
8436,62,47,18
852,66,63,92
2432,55,51,49
8402,78,88,61
4614,56,90,3
7821,79,44,36
2582,59,56,30
6131,77,77,75
4020,90,100,33
9555,89,98,54
8852,70,70,68
9883,70,45,27
4464,63,47,48
7635,68,99,1
2802,82,35,44
6327,93,47,35
8520,71,51,39
5844,81,100,28
4903,61,50,32
955,89,75,33
3368,79,100,0
2944,73,38,45
8098,77,97,7
6098,87,51,0
4994,78,99,0
8961,67,86,100
4639,59,54,85
8218,79,53,65
284,77,22,50
2912,75,54,0
5797,79,79,29
9364,87,67,43
7605,75,55,42
5357,87,70,29
1043,82,94,83
7683,74,64,74
7880,69,59,0
5529,79,77,39
689,66,98,48
6593,63,98,24
7483,73,68,52
8415,60,20,38
3139,68,100,84
6422,75,44,0
2026,73,0,49
9420,80,85,33
4115,49,69,9
3745,78,33,38
3947,62,100,6
8442,86,80,67
5764,94,74,34
8284,80,41,41
4878,70,41,53
5586,69,97,45
3737,72,54,0
9164,82,23,31
4102,72,38,3
8018,75,84,30
5091,84,28,27
5803,77,59,11
333,75,62,52
9702,65,100,25
9528,84,71,83
9950,75,100,80
3355,79,43,51
5411,88,77,81
2463,63,54,36
1931,71,0,32
9534,57,100,30
2877,81,50,28
1784,87,29,34
9367,80,21,37
4048,61,0,85
3248,83,71,18
7655,74,63,49
7720,63,69,32
4177,67,67,0
6612,63,100,22
5130,76,71,63
5306,66,71,22
218,84,100,44
810,83,100,72
5791,70,100,70
9711,90,63,27
7544,82,85,1
7261,89,78,60
2852,71,50,66
4239,66,31,51
1841,79,24,26
3064,66,100,92
5985,77,5,8
5999,76,67,23
2904,75,78,24
8590,69,79,7
5241,84,62,72
6513,71,80,66
2185,73,74,5
348,76,75,29
6325,83,15,27
5317,81,56,68
4046,77,44,17
4894,51,100,41
4396,79,68,95
1374,69,70,33
5886,74,56,7
1635,54,59,59
4501,61,53,39
7475,76,30,44
9656,67,51,13
1048,67,32,48
8425,72,44,56
1441,76,57,93
796,69,74,5
3780,66,40,16
3086,73,73,6
9604,45,44,20
9121,72,100,47
8073,86,54,44
6008,67,61,58
6940,93,30,0
3191,65,60,100
418,66,18,3
8235,80,57,37
3613,75,63,30
3062,88,100,43
3644,74,92,18
4315,86,64,91
8351,69,52,14
9572,71,100,46
3544,90,70,59
9626,62,75,45
9375,58,48,77
7874,73,83,72
7917,92,49,57
6471,82,62,81
6976,77,85,41
4234,65,45,23
8773,88,68,71
5235,75,79,37
4263,78,95,26
260,82,100,29
2855,87,84,30
1598,76,60,71
725,72,62,45
4088,74,100,45
2943,69,61,13
7931,91,35,25
4860,73,7,48
3534,75,67,41
2554,90,92,16
6042,66,72,17
5302,75,78,100
8196,78,100,37
770,65,48,40
7362,72,38,37
7806,81,42,1
3576,49,60,12
5911,77,64,64
4927,72,63,57
7861,59,63,74
9239,55,40,29
3007,67,71,39
6548,81,100,21
8043,80,70,0
7509,70,86,64
9793,85,67,64
441,82,66,80
2907,64,90,29
6135,61,100,62
1351,76,33,100
1776,63,45,84
1141,68,53,63
5875,78,43,5
591,82,41,38
1943,59,29,60
1228,76,57,0
7207,92,84,16
9552,73,58,13
6185,69,69,28
464,84,100,64
6935,78,71,30
6217,91,38,84
499,70,52,73
4401,71,69,0
1896,72,84,83
9161,58,53,19
3242,71,68,0
3689,89,71,82
7313,74,86,28
5534,81,100,20
5207,61,91,7
931,80,35,29
4801,71,65,54
7732,83,42,34
2779,77,73,44
3551,72,42,51
1215,69,39,40
1288,86,61,44
7439,71,69,13
9857,61,25,14
301,86,69,13
4328,88,81,37
4308,68,100,69
416,70,72,54
701,69,69,79
1085,84,97,29
1163,68,23,62
8986,66,66,21
5489,79,95,63
6208,76,86,47
3019,92,30,9
5891,74,92,45
8724,78,36,0
4022,57,58,44
9830,65,50,19
4051,74,68,18
3890,73,76,0
1837,83,44,22
6694,79,41,41
3333,81,30,0
8197,75,60,70
673,80,64,64
9217,70,100,93
5824,78,75,16
5110,59,40,73
3307,87,47,67
268,78,94,8
8619,77,58,75
1796,78,73,0
3565,62,54,49
2065,54,85,7
4447,78,85,36
4171,71,76,71
710,76,33,24
5775,76,41,24
4008,82,73,47
647,80,32,19
8330,82,90,36
4253,51,85,0
6818,86,100,0
6673,74,100,42
3040,77,100,0
9808,80,97,76
6242,68,53,4
5293,80,91,61
4154,72,63,52
6896,68,71,58
5261,64,73,67
5677,75,100,45
659,71,100,67
4990,69,63,34
1734,76,33,100
1101,59,72,55
1196,64,100,54
3897,96,72,91
3803,72,72,51
5593,61,42,61
4250,67,67,93
9393,72,78,75
1130,74,34,52
3956,82,100,21
7260,93,44,79
6866,83,17,48
6711,72,88,100
3240,71,100,79
4101,83,58,16
3340,93,64,8
3666,74,60,82
6615,83,92,9
8902,54,33,22
7459,100,68,0
4670,79,64,45
7275,78,67,25
5817,63,82,37
374,69,90,10
4697,87,50,44
138,82,56,20
6719,87,7,15
4056,72,88,35
1050,78,66,11
4324,64,60,85
861,68,94,45
6897,72,90,57
7422,82,51,15
3994,86,67,2
5582,91,92,53
7349,70,91,46
3773,79,51,36
3376,69,87,8
3845,85,59,22
6961,82,64,20
4574,77,58,0
1868,81,59,57
8577,64,0,47
4920,73,59,22
5183,63,60,48
5914,69,84,47
2122,64,49,44
9573,75,70,40
5820,74,59,88
838,84,66,60
5498,78,93,25
1057,87,60,5
4195,88,98,56
56,78,70,46
9119,61,54,34
6668,64,47,0
6646,93,80,0
3858,66,46,61
7585,94,35,28
991,70,62,68
2853,89,54,56
4868,77,75,7
4443,79,60,72
1058,74,95,19
122,62,29,39
4856,81,55,60
2821,69,70,47
9049,70,69,74
195,81,28,36
3162,71,58,15
4647,71,45,32
4530,86,77,0
383,62,100,20
6489,87,100,28
4437,90,7,36
5178,80,51,16
446,65,79,44
7562,55,40,25
7447,76,70,64
7864,69,77,78
7082,77,87,35
1548,52,65,98
2951,60,91,26
6030,95,100,38
4772,77,31,14
2587,65,45,43
7356,74,79,43
1697,91,78,46
6511,78,51,26
4605,91,19,56
2173,60,63,34
2612,91,93,76
6240,84,56,25
7136,67,62,17
5377,78,90,29
2177,70,56,0
449,58,49,7
2358,80,28,66
5437,99,79,14
8592,72,58,30
3297,65,43,66
4651,75,65,20
8041,86,40,12
7886,73,30,25
8269,90,69,48
8007,78,66,9
876,68,48,40
2953,83,69,17
7293,62,88,30
5786,67,69,0
454,78,98,10
4773,85,56,66
4663,73,24,88
8566,73,80,43
6989,74,28,20
7799,85,70,66
7352,73,40,68
9035,95,74,68
2794,73,73,17
9846,98,71,38
3698,58,67,22
3005,83,45,47
6151,79,78,68
1517,68,93,21
8875,65,65,42
5648,59,64,29
1275,62,49,5
2695,74,58,57
1250,87,37,76
8631,78,74,32
1193,74,94,94
3798,69,88,52
2153,90,100,10
2768,80,45,45
9760,88,79,54
4066,87,96,15
5321,58,100,59
5223,75,36,35
4485,77,73,45
5314,69,68,60
1244,64,15,18
1902,79,64,52
9946,62,39,65
4259,75,75,11
390,81,78,44
4624,74,74,34
9334,62,37,63
1862,61,31,45
9168,63,50,27
6598,75,73,67
8857,68,20,44
5170,96,44,69
7504,67,89,53
4110,84,70,28
4379,81,95,32
543,57,33,0
576,61,31,17
9318,82,94,26
1608,86,32,53
3271,62,54,27
4476,73,50,82
8143,68,78,0
5543,59,40,30
7807,73,52,48
8011,77,51,32
6524,62,83,13
7246,76,85,90
4197,85,58,50
8119,73,34,25
9499,82,74,50
6858,77,70,44
625,85,100,34
9017,81,61,23
6487,88,35,60
7480,82,80,0
6532,58,58,37
5252,72,51,41
3509,80,54,16
6314,70,85,83
3948,63,90,21
1494,81,91,68
6633,75,53,53
851,58,87,9
8656,50,64,95
160,82,95,2
6142,73,61,30
8130,59,76,28
1358,66,77,18
3970,70,58,52
9326,67,52,19
3194,85,87,34
6067,68,68,51
4562,60,100,86
5054,60,71,38
5918,68,89,47
8526,69,63,56
8685,73,69,59
877,72,57,56
9559,84,48,52
733,79,79,60
9104,55,95,7
2341,82,42,0
9701,64,85,27
6065,60,85,19
8851,82,78,48
7724,61,35,65
4958,87,49,39
7279,84,19,20
9600,76,51,5
9163,75,57,33
151,87,8,66
8299,85,57,44
9462,99,50,32
1586,73,76,53
2424,86,62,9
3195,65,21,51
7049,77,69,55
97,91,60,97
6402,74,61,57
9171,52,40,42
55,84,96,0
6382,59,100,0
8000,79,45,84
4199,82,31,50
2330,83,37,3
4489,59,51,39
5251,81,27,0
6022,75,77,18
7847,64,50,56
831,77,68,50
3600,68,54,37
5364,78,79,73
6048,54,91,73
8273,74,82,67
7816,61,73,49
1935,62,57,47
6613,73,71,52
5769,66,65,17
4550,65,63,0
5367,61,72,71
3140,79,53,73
205,66,87,23
8242,73,65,11
5400,77,100,46
8781,80,64,0
3520,67,74,47
2019,56,48,18
9620,83,58,54
5502,62,92,34
1932,66,30,76
788,84,90,21
9866,62,86,48
6683,52,81,74
2306,74,67,84
1142,78,53,37
140,69,100,58
5014,55,95,29
7945,60,31,65
6457,58,45,27
624,80,70,62
8123,83,75,79
2004,91,72,38
9710,83,38,79
7805,76,81,19
3029,52,48,11
40,81,93,88
571,70,88,68
9505,72,36,100
832,69,97,6
5200,77,12,16
5852,82,83,51
2102,80,55,27
789,85,71,19
9919,64,70,15
5151,74,26,0
990,68,68,52
1985,67,70,7
3252,69,99,40
7733,66,73,58
3401,72,74,68
2805,66,68,60
2716,71,72,43
4279,79,60,25
5304,74,82,28
7548,76,85,100
1992,81,65,13
2506,74,100,11
9241,83,49,31
303,74,51,3
2643,62,67,48
9670,52,54,27
5204,45,67,0
7332,57,53,11
9706,86,47,52
3637,77,21,16
2467,85,53,100
7043,74,92,72
3204,100,95,30
2893,66,100,0
4695,86,21,51
2493,78,28,74
3961,91,97,43
4108,76,29,53
1754,62,89,23
945,84,40,11
335,69,58,51
9311,73,45,56
9011,78,74,78
9736,70,69,67
5299,69,71,87
5548,71,35,17
4295,75,81,57
4592,82,79,32
6371,73,68,90
8929,70,66,0
7667,87,13,94
6735,98,62,25
137,67,36,0
3236,83,74,31
4448,76,30,22
6084,87,52,49
1206,68,61,70
4317,68,100,71
3001,79,67,49
7702,68,65,0
8116,78,30,34
1230,68,39,40
2758,68,45,49
4861,80,61,31
8365,81,22,35
9409,70,75,57
7315,89,100,41
3369,78,55,52
1339,73,87,3
652,76,64,30
8887,72,54,29
9487,81,98,56
3664,67,38,66
9314,75,43,9
6312,84,45,7
3760,85,48,57
9838,69,50,14
9027,73,68,22
7554,80,88,80
8879,77,33,46
6280,65,12,61
1871,80,63,18
3161,89,61,52
7650,85,25,0
2209,81,65,50
2215,89,43,94
7283,76,71,10
752,67,80,23
5388,79,54,65
9317,72,12,64
6792,79,78,32
3068,89,77,36
3587,87,64,65
6583,54,83,40
8071,61,58,53
5685,84,56,37
560,64,80,35
6794,83,100,53
7628,70,78,49
7573,76,84,44
1854,75,19,8
5175,71,100,82
1168,79,96,76
6778,56,57,31
1361,85,69,9
2584,72,62,0
7814,91,96,0
3393,78,82,43
594,82,10,97
4834,53,65,36
9338,65,52,54
2550,80,74,32
6040,73,47,94
8945,74,56,18
9743,77,58,74
5452,54,80,59
6676,61,62,48
9758,98,64,52
9167,84,71,8
7228,71,63,63
7108,95,93,65
5965,78,44,13
6914,59,73,54
8736,68,3,32
3714,57,14,55
9287,84,96,43
9548,76,100,72
3971,93,73,6
3303,62,62,38
423,61,64,30
3045,55,85,22
1434,63,70,47
3485,85,30,27
169,72,19,60
5020,79,40,40
9792,87,64,76
8963,68,56,67
6984,77,87,54
8353,85,44,59
6810,68,100,5
3985,83,75,12
1584,75,100,40
3980,66,38,14
213,76,60,73
3167,57,34,51
6576,61,100,56
7693,55,33,0
2635,87,100,39
2236,49,29,35
1816,74,46,4
822,68,73,38
7330,87,40,86
4972,77,72,56
5305,68,100,24
4650,70,86,39
1378,91,50,47
3493,64,59,91
8227,89,78,60
8103,81,55,18
3444,69,42,70
2842,60,47,51
4851,66,48,41
2404,71,59,58
8201,67,8,32
730,76,78,52
7739,82,23,41
496,83,49,27
2464,82,85,0
3018,65,97,26
6971,83,43,27
4975,69,100,15
1973,60,76,52
173,52,79,96
9088,68,52,34
5115,87,82,0
4097,87,79,26
3935,85,100,74
2021,78,54,54
3050,72,47,57
8292,97,24,0
4517,88,64,4
3777,85,80,48
7682,62,25,14
5471,79,10,100
6975,83,98,65
7158,87,95,57
8406,72,66,25
8392,80,42,57
5652,77,74,38
3262,62,54,24
6595,74,53,23
9336,77,56,零分
7403,82,83,1
9090,87,79,52
1897,75,67,27
2659,61,90,69
4281,74,79,88
4756,77,82,38
8084,73,46,14
6087,69,58,47
5938,66,100,65
8427,64,91,100
846,69,37,0
380,64,69,34
2216,68,76,71
7972,77,61,22
6250,72,66,37
6798,79,75,32
7777,66,61,24
2519,72,30,29
784,76,65,34
758,74,77,31
2574,90,96,23
6883,71,27,10
2257,73,39,47
6569,79,100,0
9533,91,84,0
736,76,53,5
3120,71,54,42
1755,77,53,89
1216,67,100,50
6380,67,32,8
2213,81,67,16
1041,77,100,11
9220,74,97,0
9811,97,3,37
2556,68,86,28
922,87,42,34
8066,72,70,60
6446,90,84,40
2029,73,91,0
7835,63,71,35
2614,78,45,6
7506,60,48,0
1077,69,61,72
2790,74,24,62
2145,70,51,25
4258,75,82,40
3170,54,36,33
5516,60,95,59
8382,76,45,67
3317,97,79,0
2295,84,71,63
7428,82,52,50
4845,78,56,34
8881,71,100,0
524,65,65,38
2932,57,91,39
2259,79,99,74
4912,64,100,64
7101,73,33,13
816,76,0,65
8285,59,58,33
4996,78,76,46
3882,82,62,48
3,86,75,38
8159,65,74,17
5835,80,74,14
9523,79,67,58
5859,87,85,41
2495,45,30,23
4086,65,43,16
4619,72,75,53
1334,87,75,100
5618,68,60,18
4621,71,59,16
4208,98,100,20
4625,66,47,35
9330,65,75,89
2526,54,45,38
8893,82,100,59
5436,83,47,60
483,74,36,56
8639,70,37,31
3284,80,26,48
5203,79,88,14
1359,81,48,35
4334,79,76,37
2167,76,92,16
2743,75,52,27
606,70,51,48
7892,64,50,37
8446,77,44,54
7823,67,68,71
3243,81,67,26
5784,75,68,64
2359,100,80,9
6986,58,36,79
8496,74,90,3
935,72,33,10
6093,87,40,38
3850,73,59,41
1861,75,88,41
5716,67,52,61
8104,69,62,45
9855,86,51,83
615,72,71,32
9619,57,100,11
9594,92,35,51
682,59,59,25
2641,54,40,30
7431,73,75,42
9324,100,61,63
723,70,72,29
2683,86,50,56
4363,71,36,21
5068,72,100,100
4094,83,0,100
2284,66,76,44
9229,62,28,41
9002,85,56,1
8952,66,100,28
4477,68,48,67
9329,76,46,12
4828,79,95,34
7609,63,39,18
9988,69,47,20
8767,76,47,19
7056,73,76,33
9943,65,100,12
3831,68,21,11
9085,84,24,0
8594,83,41,61
3697,75,78,14
1628,77,38,42
5556,71,46,47
4026,68,62,60
9667,75,100,47
2458,77,35,29
2207,72,56,36
6758,74,80,55
5983,77,77,59
7878,99,78,16
3310,87,34,27
4059,84,48,12
4498,83,100,0
5385,72,34,67
6697,83,88,28
5236,51,77,4
3033,60,61,95
168,93,59,2
1263,82,100,0
448,82,65,42
1056,63,42,79
7490,69,19,92
1950,82,32,44
4182,72,34,17
7241,71,70,15
7445,96,75,43
2976,91,39,77
1203,78,75,29
2307,75,62,42
2214,77,65,0
7271,72,62,62
3408,75,48,22
5295,63,79,75
3059,83,86,45
3165,65,40,60
7433,63,82,97
6078,79,82,62
1795,75,69,36
6601,61,84,9
4638,70,89,63
7378,96,100,19
4503,70,75,47
3692,83,74,70
2840,78,73,39
3557,71,47,18
2687,72,21,12
521,78,42,31
3474,67,37,17
5598,87,29,75
8149,68,56,100
4893,79,69,8
9827,83,52,18
4855,74,78,13
271,64,41,42
7414,80,83,26
234,82,92,62
